
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-02-04 03:49:01 /beranda ................................... ~ 500.57ms
  2026-02-04 03:49:09 /beranda ..................................... ~ 0.19ms
  2026-02-04 03:49:17 /beranda ..................................... ~ 0.13ms
  2026-02-04 03:50:28 /beranda ..................................... ~ 0.17ms
  2026-02-04 03:50:28 /storage/test.jpg ............................ ~ 0.04ms
  2026-02-04 03:50:28 /build/assets/app-DyDnBX29.css ............... ~ 0.49ms
  2026-02-04 03:50:28 /build/assets/app-SKZwaN8M.js ................ ~ 0.69ms
  2026-02-04 03:53:06 /beranda ..................................... ~ 0.16ms
  2026-02-04 03:53:06 /storage/test.jpg ............................ ~ 0.05ms
  2026-02-04 03:53:06 /build/assets/app-DyDnBX29.css ............... ~ 0.39ms
  2026-02-04 03:53:06 /build/assets/app-SKZwaN8M.js ................ ~ 0.56ms
  2026-02-04 15:35:21 /beranda ................................... ~ 506.73ms
  2026-02-04 15:35:31 /beranda ..................................... ~ 0.17ms
  2026-02-04 15:36:03 /beranda ..................................... ~ 0.59ms
  2026-02-04 15:36:03 /build/assets/app-DyDnBX29.css ............... ~ 0.30ms
  2026-02-04 15:36:03 /build/assets/app-SKZwaN8M.js ................ ~ 0.74ms
  2026-02-04 15:36:32 /beranda ..................................... ~ 0.63ms
  2026-02-04 15:36:32 /storage/test.jpg ............................ ~ 0.04ms
  2026-02-04 15:36:32 /build/assets/app-DyDnBX29.css ............... ~ 1.03ms
  2026-02-04 15:36:32 /build/assets/app-SKZwaN8M.js ................ ~ 1.40ms
